Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
Leon,,77 Kingsway,,WC2B 6SR,1,Restaurant/Cafe/Canteen,781858,FHRS,15,10,10,2,21/07/2015,False,83388,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530567,181332,-0.119723,51.51584,Unknown,08/05/2016,"(51.51584, -0.119723)",1306
Loaf,,93      Tottenham Court Road,,W1T 4HL,1,Restaurant/Cafe/Canteen,470853,FHRS,10,5,10,3,01/08/2012,False,73815,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529416,181987,-0.136047,51.521991,Unknown,08/05/2016,"(51.521991, -0.136047)",1325
Methodist International Centre,,81-103      Euston Street,London,NW1 2EZ,1,Restaurant/Cafe/Canteen,426468,FHRS,5,5,5,5,20/03/2014,False,8483,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529404,182507,-0.136029,51.526667,Unknown,08/05/2016,"(51.526667, -0.136029)",1472
Mems Cafe,,383      Kentish Town Road,,NW5 2TJ,1,Restaurant/Cafe/Canteen,571647,FHRS,5,10,10,3,17/03/2015,False,76862,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528980,185137,-0.141189,51.550399,Unknown,08/05/2016,"(51.550399, -0.141189)",1467
Mr Michael Graney,,New Turnstile,London,WC2A 3HP,4613,Retailers - other,424975,FHRS,5,5,5,5,26/07/2010,False,42734,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530614,181492,-0.118987,51.517259,Unknown,08/05/2016,"(51.517259, -0.118987)",1520
Honest Burgers,,34a Camden Lock Place,,NW1 8AL,7844,Takeaway/sandwich shop,746328,FHRS,15,5,20,1,11/02/2016,False,80232,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528679,184140,-0.145892,51.541508,Unknown,08/05/2016,"(51.541508, -0.145892)",1078
Indian Food,703 The Stables Market,Chalk Farm Road,,NW1 8AH,7844,Takeaway/sandwich shop,470879,FHRS,5,10,5,4,19/03/2015,False,74638,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528574,184192,-0.147372,51.541999,Unknown,08/05/2016,"(51.541999, -0.147372)",1121
News Express,,56      Red Lion Street,London,WC1R 4PD,4613,Retailers - other,425122,FHRS,5,5,5,5,14/08/2008,False,48441,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530726,181723,-0.117288,51.519309,Unknown,08/05/2016,"(51.519309, -0.117288)",1573
Nicolas,,206      Haverstock Hill,London,NW3 2AG,4613,Retailers - other,425609,FHRS,0,5,0,5,04/09/2012,False,58201,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,527326,185152,-0.165025,51.550909,Unknown,08/05/2016,"(51.550909, -0.165025)",1578
Oxfam Bookshop,,47      Highgate High Street,London,N6 5JX,4613,Retailers - other,424003,FHRS,,,,Exempt,29/04/2009,False,1894,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,528380,187404,-0.149011,51.5709,Unknown,08/05/2016,"(51.5709, -0.149011)",1654
