Countrygp,Country,CO2,GNIPCAP,Immun,LIFEXP,MALNUT,INFMORT,UND5MORT,POV,FMTED,FMPED,FMSED
1,Afghanistan,,,35,,41.20000076,,,,,0,
6,Albania,0.689294279,1180,95,73.34960938,13.60000038,22,25,,138.6416321,99.27484131,96.3483963
2,Algeria,2.842495203,1570,80,70.22195435,6,37,44,,,91.67094421,
1,American Samoa,,,,,,,,,,,
5,Andorra,,,98,,,6.400000095,7,,,,
2,Angola,0.482598633,430,41,40.44312286,,154,260,,,,82.1912384
3,Antigua and Barbuda,4.56810379,8140,95,75.06097412,,13,15,,,,
3,Argentina,3.722222567,7470,56,73.83951569,,17.20000076,19.39999962,,154.7176208,99.65480042,106.5943756
6,Armenia,1.123452306,660,92,70.79580688,3,33,37,,109.1261826,99.80106354,97.92964935
3,Aruba,,,,,,,,,150.1289825,96.42184448,102.4928894
5,Australia,18.15739441,20060,91,79.10609436,,4.900000095,,,122.8851089,99.76364136,100.3201904
5,Austria,7.552955627,26010,75,78.0417099,,4.800000191,6,,109.0276031,98.87104797,95.95616913
6,Azerbaijan,3.697899342,610,99,71.77072906,16.79999924,77,93,,66.67700958,100.6393967,100.2967987
3,"Bahamas, The",5.955984116,15380,93,68.75028992,,14,17,,,98.14785004,94.98885345
1,Bahrain,27.75228882,10390,98,73.91410065,,10,12,,,101.0957718,107.9603806
1,Bangladesh,0.232147917,390,76,61.5255127,47.70000076,66,92,36.02999878,50.65836716,100.2066574,104.4480743
3,Barbados,4.475194454,,94,75.41902161,,12,14,,267.0858765,98.37001801,103.5517883
6,Belarus,5.912205696,1380,98,68.00731659,,11,14.39999962,2,134.311676,98.50946045,104.2971268
5,Belgium,9.973070145,24900,82,77.62438965,,4.800000191,6,,113.311348,99.04846191,110.1896591
3,Belize,3.124227285,3100,95,72.20663452,,34,41,,,96.10076141,106.6401443
2,Benin,0.221969426,340,68,53.68053818,,95,160,,25.20679092,69.34950256,46.45516205
,Bermuda,7.202246666,,,77.56097412,,,,,,,
1,Bhutan,0.491567701,540,76,61.47375488,,77,100,,,,
3,Bolivia,0.995229781,1000,74,63.11112213,,63,84,,,98.58802032,95.87969208
6,Bosnia and Herzegovi,5.003905773,1290,80,73.61414337,4.099999905,14,17,,,,
2,Botswana,2.331254005,2870,90,42.69112015,12.5,74,101,,73.74304962,100.1420746,105.5468369
3,Brazil,1.768800378,3590,99,69.72477722,,35,39,,129.6425171,94.26864624,110.1258469
1,Brunei Darussalam,19.11864281,,99,76.17268372,,8,8.800000191,,197.1190643,98.99640656,105.5961456
6,Bulgaria,5.253248692,1600,88,71.663414,,13.32999992,15.76000023,,140.7893372,97.28186798,97.67131805
2,Burkina Faso,0.091830269,250,59,46.7868309,,100,196,,,70.85587311,65.21027374
2,Burundi,0.040673006,120,75,42.82673264,45.09999847,114,190,,35.38279343,80.11502075,
1,Cambodia,0.041687392,280,65,55.58541489,45.20000076,95,135,,33.28728867,87.0930481,54.49315643
2,Cameroon,0.228624776,,49,46.96912384,,88,151,,,85.16737366,
5,Canada,15.95862007,21810,95,78.92682648,,,,,133.7924347,100.3587875,
2,Cape Verde,0.308994502,1280,80,69.23526764,,31,42,,99.97657776,96.56443024,
3,Cayman Islands,,,,,,,,,278.5901184,97.34996033,100.9286499
2,Central African Repu,0.071778379,270,36,40.59248734,24.29999924,115,193,,18.68908691,,
2,Chad,0.015163501,180,42,44.0291214,28,117,200,,17.41820908,60.55530548,28.19181442
5,Channel Islands,,,,78.84926605,,,,,,,
3,Chile,3.860651016,4850,97,76.91268158,,8.899999619,10,2,91.70446777,97.57395935,102.2649765
1,China,2.191745996,930,84,70.25746155,10,33,41,,,,
3,Colombia,1.383656025,2060,75,71.56785583,6.699999809,20,24,,109.2704315,99.57836151,110.1129456
2,Comoros,0.155964702,400,70,60.73122025,25.39999962,61,82,,72.93271637,85.08707428,81.65447998
2,"Congo, Dem. Rep.",0.04663077,80,46,42.43965912,,129,205,,,,52.41436005
2,"Congo, Rep.",0.015986983,520,34,51.42380524,,81,108,,30.96014595,91.65744781,69.31867218
3,Costa Rica,1.388642907,3700,82,77.69024658,,12.5,14,2.00999999,120.2893524,98.31920624,108.8651047
2,Cote d'Ivoire,0.473354727,650,73,46.6294136,,115,188,,,74.50984192,54.08317947
6,Croatia,4.470414639,4500,93,73.7960968,,7.400000095,7.800000191,,115.8117599,98.61516571,102.0028458
3,Cuba,2.240294695,,94,76.47219849,3.900000095,7.199999809,9.100000381,,119.9818726,95.28152466,104.1895752
5,Cyprus,8.168222427,11720,86,78.13902283,,5.599999905,6.300000191,,131.4427338,100.1765518,103.9509354
6,Czech Republic,11.56125355,5690,98,74.96829224,,4.099999905,5,,103.3627777,99.38031006,101.7142639
5,Denmark,8.663919449,31460,99,76.75366211,,5.300000191,6,,136.2787781,99.86663055,104.7840652
2,Djibouti,0.538390696,780,50,52.4680481,,107,136,,89.24878693,73.22356415,65.69165039
3,Dominica,1.438353419,3300,99,76.3390274,,13,14,,,95.85216522,116.486084
3,Dominican Republic,2.468405247,2170,88,67.00794983,4.599999905,33,40,,,97.07411194,125.2507172
3,Ecuador,1.74452877,1340,84,73.43219757,11.60000038,27,32,,,99.4807663,101.6182175
2,"Egypt, Arab Rep.",1.948655248,1460,98,68.79097748,4,40,49,3.089999914,,92.24784851,92.48802948
3,El Salvador,0.960851073,2000,97,70.14624023,,29,35,18.94000053,120.6031113,95.3348999,99.49832916
2,Equatorial Guinea,0.35918048,650,51,44.26517105,18.60000038,120,200,,43.08864212,95.30693054,60.014328
2,Eritrea,0.166895211,180,86,52.74809647,,61,97,,16.48571205,81.67767334,69.18790436
6,Estonia,11.68349075,4070,93,70.86829376,,8.399999619,11.30000019,,146.6465454,96.65502167,103.4358902
2,Ethiopia,0.086787648,130,52,42.29349518,47.20000076,116,176,22.96999931,27.60190201,66.95866394,61.25435257
,Faeroe Islands,,,,,,,,,,,
1,Fiji,1.477827549,2160,85,67.42014313,,18,22,,,98.18841553,109.000946
5,Finland,10.34318447,24920,96,77.5012207,,3.700000048,4,,121.0056076,99.27687836,109.3860397
5,France,6.013710022,24470,84,78.90975952,,4.400000095,5.5,,123.6104279,98.8565979,100.3772354
1,French Polynesia,2.731039524,16070,,72.66361237,,,,,,,
