sn,s4weight,s4act1,s1truan1,s1gor,dadsec,momsec,famsec,s1pared,s1sex
240002,0.565544586881927,2,7,6,2,5,2,1,2
240005,,,7,5,4,6,4,2,2
240006,0.783990068017763,3,7,9,2,3,2,3,2
240008,,,7,4,6,6,6,3,1
240009,0.453699490379675,2,4,8,5,6,5,1,1
240010,,,7,9,5,4,4,3,2
240014,1.63917637101254,3,4,9,2,2,2,2,2
240016,,,7,4,2,3,2,2,1
240018,,,4,9,2,2,2,1,1
240019,0.693299533704169,4,4,8,2,5,2,3,1
240020,,,7,10,3,3,3,1,2
240021,0.50042088808625,3,7,5,2,3,2,3,1
240022,0.610883430441179,2,7,8,4,3,3,2,1
240024,0.812759529290693,1,4,9,1,3,1,3,1
240026,,,7,1,2,5,2,1,1
240027,,,4,3,6,5,5,3,1
240035,3.13121037102302,6,7,8,3,5,3,3,2
240036,,,7,2,2,2,2,1,2
240037,,,7,2,4,5,4,3,1
240039,,,1,11,3,6,3,1,1
240040,,,7,7,1,3,1,2,2
240041,0.414040063078901,2,7,8,1,5,1,2,2
240044,,,4,8,5,5,5,3,2
240045,0.585068053576689,2,7,4,3,5,3,3,1
240046,,,4,9,3,4,3,1,1
240047,0.581072032411719,2,4,3,6,6,6,3,2
240050,,,4,1,1,4,1,1,1
240055,,,7,11,3,2,2,1,2
240057,1.25601969535698,3,4,9,1,6,1,2,1
240058,,,4,6,5,6,5,3,1
240059,,,4,9,3,4,3,2,1
240061,0.981968616064022,3,7,3,3,3,3,3,1
240062,,,4,11,5,5,5,3,2
240063,0.740159889521671,2,7,3,5,6,5,3,2
240064,,,4,9,3,6,3,3,2
240065,,,4,10,3,2,2,3,2
240066,,,4,9,4,4,4,2,1
240069,,,-9,5,6,6,6,3,2
240070,,,7,10,4,2,2,3,1
240073,,,4,1,6,5,5,3,2
240074,,,7,9,5,5,5,3,1
240076,,,4,10,2,2,2,1,2
240077,0.853071371627987,2,7,2,2,1,1,1,1
240078,0.770987852473518,3,7,5,4,2,2,2,1
240080,,,4,5,6,6,6,3,1
240082,,,7,6,4,2,2,2,2
240084,2.0444497377029,1,7,3,3,4,3,3,1
240085,0.504271259761385,3,7,10,3,3,3,2,2
240086,,,4,8,2,6,2,2,2
240087,,,7,2,5,6,5,3,2
240089,,,4,9,4,2,2,3,1
240091,,,7,9,1,2,1,1,1
240092,,,7,5,1,3,1,1,2
240093,,,7,2,5,5,5,3,1
240094,,,4,2,6,5,5,3,1
240096,,,4,6,1,5,1,3,1
240097,,,7,10,5,5,5,2,1
240099,0.616382234889123,2,4,9,3,3,3,2,2
240100,,,7,4,6,2,2,3,1
240102,,,7,9,6,6,6,3,1
