customer_id,city,sex,date_birth,date_join,age_join,date_quit,duration,q1,q2,q3,q4,q5
DG000106,Southampton,F,1981-05-20,2010-04-01,28.87,2015-05-17,61.5,4,7,5,10,2
DG000200,London,F,1983-11-11,2010-11-29,27.05,2013-04-23,28.78,8,9,6,-1,1
DG000276,Liverpool,M,1995-01-01,2014-01-04,19.01,NA,NA,NA,NA,NA,NA,NA
DG000398,Leeds,F,1957-08-09,2010-11-16,53.27,2011-06-12,6.83,7,6,4,8,2
DG000655,Birmingham,F,1961-12-27,2010-12-11,48.96,NA,NA,NA,NA,NA,NA,NA
DG000761,Newcastle upon Tyne,M,1964-09-28,2012-08-13,47.87,NA,NA,NA,NA,NA,NA,NA
DG000813,London,F,1976-07-31,2010-09-18,34.13,2013-06-01,32.43,10,9,8,10,3
DG001025,Birmingham,M,1976-04-30,2012-08-12,36.28,NA,NA,NA,NA,NA,NA,NA
DG001093,London,M,1990-03-05,2011-03-27,21.06,NA,NA,NA,NA,NA,NA,NA
DG001366,Leeds,F,1959-02-03,2010-05-24,51.3,NA,NA,NA,NA,NA,NA,NA
DG001474,Newcastle upon Tyne,M,1976-12-11,2010-12-31,34.05,NA,NA,NA,NA,NA,NA,NA
DG001932,London,F,1980-05-09,2012-12-11,32.59,NA,NA,NA,NA,NA,NA,NA
DG002038,London,M,1986-05-07,2012-06-30,26.15,NA,NA,NA,NA,NA,NA,NA
DG002050,London,F,1968-07-15,2011-02-19,42.6,2013-03-04,24.44,6,8,5,-1,1
DG002331,Newcastle upon Tyne,M,1977-06-27,2010-04-30,32.84,2013-11-24,42.84,-1,7,10,7,1
DG002411,Birmingham,F,1983-03-19,2010-12-27,27.78,NA,NA,NA,NA,NA,NA,NA
DG002814,Manchester,M,1979-05-26,2011-07-22,32.16,2015-04-23,45.04,5,8,6,7,0
DG003023,Sheffield,F,1978-11-21,2014-04-08,35.38,2014-06-06,1.94,-1,8,7,2,2
DG003111,Nottingham,F,1982-07-28,2010-05-25,27.82,2012-04-24,23,6,5,3,-1,2
DG003399,Newcastle upon Tyne,F,1975-05-04,2011-11-05,36.51,2013-03-14,16.26,-1,9,-1,-1,4
DG003515,Birmingham,F,1961-08-05,2012-03-02,50.57,2013-04-21,13.63,8,10,-1,2,1
DG003569,Newcastle upon Tyne,M,1972-03-01,2010-04-19,38.13,NA,NA,NA,NA,NA,NA,NA
DG003616,Manchester,M,1985-08-12,2010-01-26,24.46,2015-05-24,63.87,4,-1,5,7,0
DG003734,Leeds,M,1987-05-08,2012-04-07,24.92,2012-07-04,2.89,9,9,7,9,-1
DG003854,Leeds,M,1973-10-19,2011-01-02,37.2,NA,NA,NA,NA,NA,NA,NA
DG003959,Nottingham,F,1963-02-14,2013-03-25,50.11,NA,NA,NA,NA,NA,NA,NA
DG004100,Sheffield,M,1978-08-31,2011-11-30,33.25,NA,NA,NA,NA,NA,NA,NA
DG004251,Leeds,M,1984-05-12,2012-03-07,27.82,NA,NA,NA,NA,NA,NA,NA
DG004756,Leeds,M,1974-09-09,2010-04-21,35.61,2015-04-14,59.76,9,6,6,8,0
DG004806,Newcastle upon Tyne,F,1952-07-26,2011-11-12,59.3,NA,NA,NA,NA,NA,NA,NA
DG005104,Manchester,F,1979-10-12,2013-02-27,33.38,2015-05-22,26.74,-1,10,-1,7,0
DG005593,London,M,1982-08-12,2010-10-08,28.16,NA,NA,NA,NA,NA,NA,NA
DG005836,Glasgow,M,1972-05-22,2014-06-30,42.11,NA,NA,NA,NA,NA,NA,NA
DG005899,Glasgow,M,1972-07-06,2012-11-01,40.32,NA,NA,NA,NA,NA,NA,NA
DG005997,Sheffield,F,1965-03-22,2012-02-14,46.9,NA,NA,NA,NA,NA,NA,NA
DG006026,Birmingham,F,1980-06-21,2011-04-29,30.85,NA,NA,NA,NA,NA,NA,NA
